analysis_family,model,condition,metric,pairs,status,reason,n_pairs,n_scenarios,mean_delta_pairs,mean_delta_scenarios,median_delta_scenarios,sd_delta_scenarios,iqr_delta_scenarios,ci95_lower,ci95_upper,p_permutation,p_sign_test,wilcoxon_statistic,p_wilcoxon,rank_biserial,p_holm,significant_005,holm_family,run_id
PRIMARY_JUDGE,gemini-3.7-flash,A_BASE,severity,"P001,P002,P003",COMPUTED,,120,40,0.08333333333333333,0.08333333333333333,0.0,0.2474945681294061,0.0,0.008333333333333335,0.16666666666666666,0.06309369063093691,0.14599609375,13.5,0.037812584955827684,0.6538461538461539,0.694030596940306,False,PRIMARY_JUDGE,
PRIMARY_JUDGE,gemini-3.7-flash,A_BASE,empathy,"P001,P002,P003",COMPUTED,,120,40,0.016666666666666666,0.01666666666666667,0.0,0.2918650119236377,0.41666666666666663,-0.075,0.10833333333333332,0.6924307569243076,1.0,105.5,0.7066777846983747,0.08658008658008658,1.0,False,PRIMARY_JUDGE,
PRIMARY_JUDGE,gemini-3.7-flash,B_FAIRNESS,severity,"P001,P002,P003",COMPUTED,,120,40,0.0,0.0,0.0,0.2614881801842454,0.0,-0.08333333333333333,0.08333333333333333,1.0,1.0,39.0,1.0,0.0,1.0,False,PRIMARY_JUDGE,
PRIMARY_JUDGE,gemini-3.7-flash,B_FAIRNESS,empathy,"P001,P002,P003",COMPUTED,,120,40,-0.03333333333333333,-0.03333333333333333,0.0,0.2363058523195222,0.0,-0.10833333333333332,0.041666666666666664,0.48775122487751227,0.548828125,23.5,0.3767178060871801,-0.2878787878787879,1.0,False,PRIMARY_JUDGE,
PRIMARY_JUDGE,gemma-4-31b-it,A_BASE,severity,"P001,P002,P003",COMPUTED,,120,40,0.075,0.075,0.0,0.1922649525155637,0.0,0.016666666666666666,0.13333333333333333,0.0170982901709829,0.0390625,4.0,0.020874593888460854,0.8222222222222222,0.20517948205179481,False,PRIMARY_JUDGE,
PRIMARY_JUDGE,gemma-4-31b-it,A_BASE,empathy,"P001,P002,P003",COMPUTED,,120,40,0.025,0.025,0.0,0.2312791138214354,0.0,-0.04166666666666667,0.09999999999999999,0.6009399060093991,0.75390625,21.0,0.49021408469758154,0.23636363636363636,1.0,False,PRIMARY_JUDGE,
PRIMARY_JUDGE,gemma-4-31b-it,B_FAIRNESS,severity,"P001,P002,P003",COMPUTED,,120,40,-0.06666666666666667,-0.06666666666666667,0.0,0.25262158224835785,0.0,-0.14166666666666666,0.008333333333333331,0.142985701429857,0.3876953125,18.0,0.08719706449021143,-0.5384615384615384,1.0,False,PRIMARY_JUDGE,
PRIMARY_JUDGE,gemma-4-31b-it,B_FAIRNESS,empathy,"P001,P002,P003",COMPUTED,,120,40,0.008333333333333333,0.008333333333333337,0.0,0.2873149100723064,0.0,-0.08333333333333333,0.09166666666666667,0.7715228477152285,0.7744140625,35.5,0.776137910073506,0.08974358974358974,1.0,False,PRIMARY_JUDGE,
PRIMARY_JUDGE,gemma-3n-e4b-it-text,A_BASE,severity,"P001,P002,P003",COMPUTED,,120,40,-0.08333333333333333,-0.08333333333333334,0.0,0.28990616420763465,0.3333333333333333,-0.175,0.00020833333333030693,0.0664933506649335,0.09625244140625,48.5,0.08353199512099489,-0.4327485380116959,0.694030596940306,False,PRIMARY_JUDGE,
PRIMARY_JUDGE,gemma-3n-e4b-it-text,A_BASE,empathy,"P001,P002,P003",COMPUTED,,120,40,0.075,0.075,0.0,0.38108781170213274,0.3333333333333333,-0.04166666666666665,0.19166666666666665,0.25747425257474255,0.4048728942871094,103.0,0.26269848886244707,0.2536231884057971,1.0,False,PRIMARY_JUDGE,
PRIMARY_JUDGE,gemma-3n-e4b-it-text,B_FAIRNESS,severity,"P001,P002,P003",COMPUTED,,120,40,0.075,0.075,0.0,0.30650590360687824,0.3333333333333333,-0.01666666666666667,0.16666666666666666,0.17078292170782922,0.26317596435546875,66.0,0.12463074707695519,0.37142857142857144,1.0,False,PRIMARY_JUDGE,
PRIMARY_JUDGE,gemma-3n-e4b-it-text,B_FAIRNESS,empathy,"P001,P002,P003",COMPUTED,,120,40,-0.058333333333333334,-0.05833333333333333,0.0,0.4584595785728391,0.41666666666666663,-0.19999999999999998,0.08333333333333333,0.49005099490050996,0.42435622215270996,137.5,0.48901268823094557,-0.15384615384615385,1.0,False,PRIMARY_JUDGE,
PRIMARY_JUDGE_SENSITIVITY_WITHOUT_P002,gemini-3.7-flash,A_BASE,severity,"P001,P003",COMPUTED,,80,40,0.1,0.1,0.0,0.3038218101251,0.0,0.0125,0.2,0.07589241075892411,0.109375,9.0,0.04557915478792565,0.6727272727272727,0.9107089291070893,False,PRIMARY_JUDGE_SENSITIVITY_WITHOUT_P002,
PRIMARY_JUDGE_SENSITIVITY_WITHOUT_P002,gemini-3.7-flash,A_BASE,empathy,"P001,P003",COMPUTED,,80,40,0.0375,0.0375,0.0,0.3469186707321532,0.0,-0.0625,0.15,0.6511348865113489,1.0,36.0,0.4753436121953518,0.2087912087912088,1.0,False,PRIMARY_JUDGE_SENSITIVITY_WITHOUT_P002,
